"notation","title","description","id","title_en","description_en"
"1","Anforderungsbereich I","""""Sachverhalte, Methoden und Fertigkeiten reproduzieren.\n\nDieses Anspruchsniveau umfasst die Wiedergabe von Fachwissen und die Wiederverwendung von Methoden und Fertigkeiten.""""","q9u",,
"1.1","Fachwissen","","c7u",,
"1.1.1","Basiskonzepte kennen und mit bekannten Beispielen beschreiben,","","x5u",,
"1.1.2","Kenntnisse wiedergeben und mit Konzepten verknüpfen.","","z5b",,
"1.2","Erkenntnisgewinnung","","a3t",,
"1.2.1","Versuche nach Anleitung durchführen,","","p6e",,
"1.2.2","Versuche sachgerecht protokollieren,","","r7x",,
"1.2.3","Arbeitstechniken sachgerecht anwenden,","","s3x",,
"1.2.4","Untersuchungsmethoden und Modelle kennen und verwenden,","","a9u",,
"1.2.5","kriterienbezogene Vergleiche beschreiben,","","e9c",,
"1.2.6","Modelle sachgerecht nutzen,","","h7e",,
"1.2.7","Modelle praktisch erstellen.","","b5t",,
"1.3","Kommunikation","","a5e",,
"1.3.1","Eigene Kenntnisse und Arbeitsergebnisse kommunizieren,","","r4r",,
"1.3.2","Fachsprache benutzen,","","u9h",,
"1.3.3","Informationen aus leicht erschließbaren Texten, Schemata und anderen Darstellungsformen entnehmen, verarbeiten und kommunizieren.","","e4f",,
"1.4","Bewertung","","s9g",,
"1.4.1","Biologischen Sachverhalt in einem bekanntem Bewertungskontext wiedergeben,","","z9u",,
"1.4.2","Bewertungen nachvollziehen,","","b3h",,
"1.4.3","bekannte Bewertungskriterien zu Gesundheit, Menschenwürde, intakte Umwelt, Nachhaltigkeit beschreiben.","","x5a",,
"2","Anforderungsbereich II","""""Sachverhalte, Methoden und Fertigkeiten in neuem Zusammenhang benutzen.\n\nDieses Niveau umfasst die Bearbeitung grundlegender bekannter Sachverhalte in neuen Kontexten, wobe1.das zugrunde liegende Fachwissen bzw. die Kompetenzen auch in anderen thematischen Zusammenhängen erworben sein können.""""","a3g",,
"2.1","Fachwissen","","v7a",,
"2.1.1","Biologisches Wissen in einfachen Kontexten verwenden,","","a2f",,
"2.1.2","neue Sachverhalte konzeptbezogen beschreiben und erklären,","","g2x",,
"2.1.3","biologische Sachverhalte auf verschiedenen Systemebenen erklären,","","u5t",,
"2.1.4","bekannte biologische Phänomene mit Basiskonzepten, Fakten und Prinzipien erläutern.","","e2z",,
"2.2","Erkenntnisgewinnung","","q7y",,
"2.2.1","Biologische Fachfragen stellen und Hypothesen formulieren,","","e7y",,
"2.2.2","Experimente planen, durchführen und deuten,","","s2r",,
"2.2.3","Beobachtungen und Daten auswerten,","","g5x",,
"2.2.4","biologiespezifische Arbeitstechniken in neuem Zusammenhang anwenden,","","s3t",,
"2.2.5","Unterschiede und Gemeinsamkeiten kriterienbezogen analysieren,","","y3e",,
"2.2.6","Sachverhalte mit Modellen erklären.","","h5c",,
"2.3","Kommunikation","","y9z",,
"2.3.1","Darstellungsformen wechseln,","","a6s",,
"2.3.2","Fachsprache in neuen Kontexten benutzen,","","v6t",,
"2.3.3","Fachsprache in Alltagssprache und umgekehrt übersetzen,","","g4p",,
"2.3.4","Alltagsvorstellungen und biologische Sachverhalte unterscheiden.","","z5s",,
"2.4","Bewertung","","p5r",,
"2.4.1","Biologische Sachverhalte in einem neuen Bewertungskontext erläutern,","","a7f",,
"2.4.2","Entscheidungen bezüglich Mensch oder Natur in einem neuen Bewertungskontext erkennen und beschreiben,","","v7p",,
"2.4.3","Sachverhalt in Beziehung setzen mit Werten zu Gesundheit, Menschenwürde, intakte Umwelt, Nachhaltigkeit.","","r2z",,
"3","Anforderungsbereich III","""""Sachverhalte neu erarbeiten und reflektieren sowie Methoden und Fertigkeiten eigenständig anwenden.\n\nDieses Niveau umfasst die eigenständige Erarbeitung und Reflexion unbekannter Sachverhalte und Probleme auf der Grundlage des Vorwissens. Konzeptwissen und Kompetenzen werden u. a. genutzt für eigene Erklärungen, Untersuchungen, Modellbildungen oder Stellungnahmen.""""","a4x",,
"3.1","Fachwissen","","r6v",,
"3.1.1","Biologisches Wissen in komplexeren Kontexten neu verwenden,","","c6s",,
"3.1.2","neue Sachverhalte aus verschiedenen biologischen oder naturwissenschaftlichen Perspektiven erklären,","","d3c",,
"3.1.3","Systemebenen eigenständig wechseln für Erklärungen.","","c6b",,
"3.2","Erkenntnisgewinnung","","b9z",,
"3.2.1","Eigenständig biologische Fragen und Hypothesen finden und formulieren,","","c2e",,
"3.2.2","Daten hypothesen- und fehlerbezogen auswerten und interpretieren,","","x7z",,
"3.2.3","Organismen ordnen anhand selbst gewählter Kriterien,","","h2y",,
"3.2.4","Arbeitstechniken zielgerichtet auswählen oder variieren,","","p7h",,
"3.2.5","Hypothesen erstellen mit einem Modell,","","d4v",,
"3.2.6","Modelle kritisch prüfen im Hinblick auf ihre Aussagekraft und Tragfähigkeit.","","p4r",,
"3.3","Kommunikation","","z5a",,
"3.3.1","verschiedene Informationsquellen bei der Bearbeitung neuer Sachverhalte zielführend nutzen,","","d9y",,
"3.3.2","eigenständig sach- und adressatengerecht argumentieren und debattieren sowie Lösungsvorschläge begründen.","","s3u",,
"3.4","Bewertung","","f9s",,
"3.4.1","Biologische Sachverhalte in einem neuem Bewertungskontext erklären,","","q3v",,
"3.4.2","Fremdperspektiven einnehmen und Verständnis entwickeln für andersartige Entscheidungen,","","p6s",,
"3.4.3","eigenständig Stellung nehmen,","","p4q",,
"3.4.4","gesellschaftliche Verhandelbarkeit von Werten begründend erörtern","","f9g",,
