"notation","title","description","id","title_en","description_en"
"F ","Fachwissen","Lebewesen, biologische Phänomene, Begriffe, Prinzipien und Fakten kennen und den Basiskonzepten zuordnen","z5t",,
"F 1","System","Die Schülerinnen und Schüler …","g4b",,
"F 1.1","verstehen die Zelle als System,","","e5g",,
"F 1.2","erklären den Organismus und Organismengruppen als System,","","a7a",,
"F 1.3","erklären Ökosystem und Biosphäre als System,","","y2a",,
"F 1.4","beschreiben und erklären Wechselwirkungen im Organismus, zwischen Organismen sowie zwischen Organismen und unbelebter Materie,","","b3c",,
"F 1.5","wechseln zwischen den Systemebenen,","","g5a",,
"F 1.6","stellen einen Stoffkreislauf sowie den Energiefluss in einem Ökosystem dar,","","u7p",,
"F 1.7","beschreiben Wechselwirkungen zwischen Biosphäre und den anderen Sphären der Erde,","","y3e",,
"F 1.8","kennen und verstehen die grundlegenden Kriterien von nachhaltiger Entwicklung.","","a9g",,
"F 2","Struktur und Funktion","Die Schülerinnen und Schüler …","p7b",,
"F 2.1","beschreiben Zellen als strukturelle und funktionelle Grundbaueinheiten von Lebewesen,","","f9z",,
"F 2.2","vergleichen die bakterielle, pflanzliche und tierliche Zelle in Struktur und Funktion,","","d4s",,
"F 2.3","stellen strukturelle und funktionelle Gemeinsamkeiten und Unterschiede von Organismen und Organismengruppen dar,","","p7e",,
"F 2.4","beschreiben und erklären Struktur und Funktion von Organen und Organsystemen, z. B. bei der Stoff- und Energieumwandlung, Steuerung und Regelung, Informationsverarbeitung, Vererbung und Reproduktion,","","v5q",,
"F 2.5","beschreiben die strukturelle und funktionelle Organisation im Ökosystem,","","b7r",,
"F 2.6","beschreiben und erklären die Angepasstheit ausgewählter Organismen an die Umwelt.","","r5b",,
"F 3","Entwicklung","Die Schülerinnen und Schüler …","b3x",,
"F 3.1","erläutern die Bedeutung der Zellteilung für Wachstum, Fortpflanzung und Vermehrung,","","c5z",,
"F 3.2","beschreiben die artspezifische Individualentwicklung von Organismen,","","g3p",,
"F 3.3","beschreiben verschiedene Formen der Fortpflanzung,","","a3t",,
"F 3.4","beschreiben ein Ökosystem in zeitlicher Veränderung,","","u6s",,
"F 3.5","beschreiben und erklären stammesgeschichtliche Verwandtschaft von Organismen,","","x4y",,
"F 3.6","beschreiben und erklären Verlauf und Ursachen der Evolution an ausgewählten Lebewesen,","","v9q",,
"F 3.7","erklären die Variabilität von Lebewesen,","","u3v",,
"F 3.8","kennen und erörtern Eingriffe des Menschen in die Natur und Kriterien für solche Entscheidungen.","","r2f",,
